consumable_id,display_name,category,subcategory,item_group,specificity,parent_id,selectable,aliases,default_unit,allowed_units,requires_dosage_confirmation,search_keywords,sort_order,active,implementation_note
food_fruit_fruit,Fruit,Food,Fruit,General,general,,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Fruit Food Fruit General,21,TRUE,General option remains selectable when the user does not want to choose a specific item.
food_fruit_apple,Apple,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Apple Food Fruit Common fruit,22,TRUE,
food_fruit_banana,Banana,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Banana Food Fruit Common fruit,23,TRUE,
food_fruit_orange,Orange,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Orange Food Fruit Common fruit,24,TRUE,
food_fruit_mandarin,Mandarin,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Mandarin Food Fruit Common fruit,25,TRUE,
food_fruit_tangerine,Tangerine,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Tangerine Food Fruit Common fruit,26,TRUE,
food_fruit_clementine,Clementine,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Clementine Food Fruit Common fruit,27,TRUE,
food_fruit_pear,Pear,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Pear Food Fruit Common fruit,28,TRUE,
food_fruit_grapes,Grapes,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Grapes Food Fruit Common fruit,29,TRUE,
food_fruit_watermelon,Watermelon,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Watermelon Food Fruit Common fruit,30,TRUE,
food_fruit_cantaloupe,Cantaloupe,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Cantaloupe Food Fruit Common fruit,31,TRUE,
food_fruit_honeydew_melon,Honeydew melon,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Honeydew melon Food Fruit Common fruit,32,TRUE,
food_fruit_pineapple,Pineapple,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Pineapple Food Fruit Common fruit,33,TRUE,
food_fruit_mango,Mango,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Mango Food Fruit Common fruit,34,TRUE,
food_fruit_papaya,Papaya,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Papaya Food Fruit Common fruit,35,TRUE,
food_fruit_guava,Guava,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Guava Food Fruit Common fruit,36,TRUE,
food_fruit_kiwi,Kiwi,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Kiwi Food Fruit Common fruit,37,TRUE,
food_fruit_pomegranate,Pomegranate,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Pomegranate Food Fruit Common fruit,38,TRUE,
food_fruit_fig,Fig,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Fig Food Fruit Common fruit,39,TRUE,
food_fruit_date,Date,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Date Food Fruit Common fruit,40,TRUE,
food_fruit_persimmon,Persimmon,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Persimmon Food Fruit Common fruit,41,TRUE,
food_fruit_quince,Quince,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Quince Food Fruit Common fruit,42,TRUE,
food_fruit_dragon_fruit,Dragon fruit,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Dragon fruit Food Fruit Common fruit,43,TRUE,
food_fruit_star_fruit,Star fruit,Food,Fruit,Common fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Star fruit Food Fruit Common fruit,44,TRUE,
food_fruit_lemon,Lemon,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Lemon Food Fruit Citrus fruit,45,TRUE,
food_fruit_lime,Lime,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Lime Food Fruit Citrus fruit,46,TRUE,
food_fruit_grapefruit,Grapefruit,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Grapefruit Food Fruit Citrus fruit,47,TRUE,
food_fruit_pomelo,Pomelo,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Pomelo Food Fruit Citrus fruit,48,TRUE,
food_fruit_blood_orange,Blood orange,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Blood orange Food Fruit Citrus fruit,49,TRUE,
food_fruit_kumquat,Kumquat,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Kumquat Food Fruit Citrus fruit,50,TRUE,
food_fruit_yuzu,Yuzu,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Yuzu Food Fruit Citrus fruit,51,TRUE,
food_fruit_bergamot_fruit,Bergamot fruit,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Bergamot fruit Food Fruit Citrus fruit,52,TRUE,
food_fruit_citron,Citron,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Citron Food Fruit Citrus fruit,53,TRUE,
food_fruit_ugli_fruit,Ugli fruit,Food,Fruit,Citrus fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Ugli fruit Food Fruit Citrus fruit,54,TRUE,
food_fruit_strawberry,Strawberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Strawberry Food Fruit Berries,55,TRUE,
food_fruit_blueberry,Blueberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Blueberry Food Fruit Berries,56,TRUE,
food_fruit_raspberry,Raspberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Raspberry Food Fruit Berries,57,TRUE,
food_fruit_blackberry,Blackberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Blackberry Food Fruit Berries,58,TRUE,
food_fruit_cranberry,Cranberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Cranberry Food Fruit Berries,59,TRUE,
food_fruit_gooseberry,Gooseberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Gooseberry Food Fruit Berries,60,TRUE,
food_fruit_mulberry,Mulberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Mulberry Food Fruit Berries,61,TRUE,
food_fruit_blackcurrant,Blackcurrant,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Blackcurrant Food Fruit Berries,62,TRUE,
food_fruit_redcurrant,Redcurrant,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Redcurrant Food Fruit Berries,63,TRUE,
food_fruit_white_currant,White currant,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,White currant Food Fruit Berries,64,TRUE,
food_fruit_elderberry,Elderberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Elderberry Food Fruit Berries,65,TRUE,
food_fruit_boysenberry,Boysenberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Boysenberry Food Fruit Berries,66,TRUE,
food_fruit_cloudberry,Cloudberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Cloudberry Food Fruit Berries,67,TRUE,
food_fruit_lingonberry,Lingonberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Lingonberry Food Fruit Berries,68,TRUE,
food_fruit_acai_berry,Acai berry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Acai berry Food Fruit Berries,69,TRUE,
food_fruit_goji_berry,Goji berry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Goji berry Food Fruit Berries,70,TRUE,
food_fruit_huckleberry,Huckleberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Huckleberry Food Fruit Berries,71,TRUE,
food_fruit_serviceberry,Serviceberry,Food,Fruit,Berries,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Serviceberry Food Fruit Berries,72,TRUE,
food_fruit_peach,Peach,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Peach Food Fruit Stone fruit,73,TRUE,
food_fruit_nectarine,Nectarine,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Nectarine Food Fruit Stone fruit,74,TRUE,
food_fruit_apricot,Apricot,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Apricot Food Fruit Stone fruit,75,TRUE,
food_fruit_plum,Plum,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Plum Food Fruit Stone fruit,76,TRUE,
food_fruit_cherry,Cherry,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Cherry Food Fruit Stone fruit,77,TRUE,
food_fruit_sour_cherry,Sour cherry,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Sour cherry Food Fruit Stone fruit,78,TRUE,
food_fruit_damson,Damson,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Damson Food Fruit Stone fruit,79,TRUE,
food_fruit_greengage,Greengage,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Greengage Food Fruit Stone fruit,80,TRUE,
food_fruit_mirabelle_plum,Mirabelle plum,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Mirabelle plum Food Fruit Stone fruit,81,TRUE,
food_fruit_loquat,Loquat,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Loquat Food Fruit Stone fruit,82,TRUE,
food_fruit_lychee,Lychee,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Lychee Food Fruit Stone fruit,83,TRUE,
food_fruit_longan,Longan,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Longan Food Fruit Stone fruit,84,TRUE,
food_fruit_rambutan,Rambutan,Food,Fruit,Stone fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Rambutan Food Fruit Stone fruit,85,TRUE,
food_fruit_passion_fruit,Passion fruit,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Passion fruit Food Fruit Tropical and exotic fruit,86,TRUE,
food_fruit_jackfruit,Jackfruit,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Jackfruit Food Fruit Tropical and exotic fruit,87,TRUE,
food_fruit_durian,Durian,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Durian Food Fruit Tropical and exotic fruit,88,TRUE,
food_fruit_mangosteen,Mangosteen,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Mangosteen Food Fruit Tropical and exotic fruit,89,TRUE,
food_fruit_breadfruit,Breadfruit,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Breadfruit Food Fruit Tropical and exotic fruit,90,TRUE,
food_fruit_soursop,Soursop,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Soursop Food Fruit Tropical and exotic fruit,91,TRUE,
food_fruit_cherimoya,Cherimoya,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Cherimoya Food Fruit Tropical and exotic fruit,92,TRUE,
food_fruit_custard_apple,Custard apple,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Custard apple Food Fruit Tropical and exotic fruit,93,TRUE,
food_fruit_sapodilla,Sapodilla,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Sapodilla Food Fruit Tropical and exotic fruit,94,TRUE,
food_fruit_tamarind,Tamarind,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Tamarind Food Fruit Tropical and exotic fruit,95,TRUE,
food_fruit_jujube,Jujube,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Jujube Food Fruit Tropical and exotic fruit,96,TRUE,
food_fruit_feijoa,Feijoa,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Feijoa Food Fruit Tropical and exotic fruit,97,TRUE,
food_fruit_salak,Salak,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Salak Food Fruit Tropical and exotic fruit,98,TRUE,
food_fruit_plantain,Plantain,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Plantain Food Fruit Tropical and exotic fruit,99,TRUE,
food_fruit_prickly_pear,Prickly pear,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Prickly pear Food Fruit Tropical and exotic fruit,100,TRUE,
food_fruit_coconut_flesh,Coconut flesh,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Coconut flesh Food Fruit Tropical and exotic fruit,101,TRUE,
food_fruit_fresh_coconut,Fresh coconut,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Fresh coconut Food Fruit Tropical and exotic fruit,102,TRUE,
food_fruit_avocado,Avocado,Food,Fruit,Tropical and exotic fruit,specific,food_fruit_fruit,TRUE,,piece,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Avocado Food Fruit Tropical and exotic fruit,103,TRUE,
food_fruit_raisins,Raisins,Food,Fruit,Dried and preserved fruit,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Raisins Food Fruit Dried and preserved fruit,104,TRUE,
food_fruit_sultanas,Sultanas,Food,Fruit,Dried and preserved fruit,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Sultanas Food Fruit Dried and preserved fruit,105,TRUE,
food_fruit_currants_dried,Currants (dried),Food,Fruit,Dried and preserved fruit,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Currants (dried) Food Fruit Dried and preserved fruit,106,TRUE,
food_fruit_dried_apricot,Dried apricot,Food,Fruit,Dried and preserved fruit,specific,food_fruit_fruit,TRUE,,serving,serving|piece|g|kg|oz|cup|tbsp|tsp|slice|bowl|plate|pack,FALSE,Dried apricot Food Fruit Dried and preserved fruit,107,TRUE,
